"Mfg-MAC Address","Name","Signal","Channel","Band","Last Seen","Probes For"
"NetAlly:00c017-35800d","NetAlly:00c017-35800d","-79 dBm","7","2.4 GHz","February 22, 2021 at 01:44 PM","--"
"Sonicwal:18b169-c8e5eb","Sonicwal:18b169-c8e5eb","--","161","5 GHz","February 22, 2021 at 01:41 PM","--"
"Local:62b48f-4a7682","Local:62b48f-4a7682","--","149","5 GHz","February 22, 2021 at 01:14 PM","--"
"IntelCor:00c2c6-8d97a3","IntelCor:00c2c6-8d97a3","-75 dBm","8","2.4 GHz","February 22, 2021 at 01:14 PM","--"
"Local:7e397e-b9d015","Local:7e397e-b9d015","--","161","5 GHz","February 22, 2021 at 01:14 PM","--"
"LiteonTe:3ca067-850573","LiteonTe:3ca067-850573","--","2","2.4 GHz","February 22, 2021 at 01:35 PM","--"
"IntelCor:4c1d96-38974e","IntelCor:4c1d96-38974e","--","4","2.4 GHz","February 22, 2021 at 01:14 PM","MOOG1951"
"Chongqin:b068e6-28c90d","Chongqin:b068e6-28c90d","--","153","5 GHz","February 22, 2021 at 01:38 PM","--"
"IntelCor:e45e37-c78c15","IntelCor:e45e37-c78c15","--","157","5 GHz","February 22, 2021 at 01:37 PM","--"
"IntelCor:00c2c6-7f43fb","IntelCor:00c2c6-7f43fb","--","10","2.4 GHz","February 22, 2021 at 01:13 PM","srmwifi"
"Chongqin:c0b5d7-b2c85b","Chongqin:c0b5d7-b2c85b","-79 dBm","112","5 GHz","February 22, 2021 at 01:44 PM","--"
"IntelCor:00e18c-8b6b86","IntelCor:00e18c-8b6b86","-82 dBm","108","5 GHz","February 22, 2021 at 01:44 PM","--"
"IntelCor:645d86-42c881","IntelCor:645d86-42c881","--","40","5 GHz","February 22, 2021 at 01:37 PM","--"
"IntelCor:645d86-d38a88","IntelCor:645d86-d38a88","--","124","5 GHz","February 22, 2021 at 01:42 PM","--"
"CloudNet:283a4d-3cedaf","CloudNet:283a4d-3cedaf","--","44","5 GHz","February 22, 2021 at 01:41 PM","--"
"RivetNet:9cb6d0-f07049","RivetNet:9cb6d0-f07049","--","100","5 GHz","February 22, 2021 at 01:42 PM","--"
"IntelCor:5cc5d4-9a3594","IntelCor:5cc5d4-9a3594","--","161","5 GHz","February 22, 2021 at 01:35 PM","--"
"Local:0e8dfb-6f4f4a","Local:0e8dfb-6f4f4a","--","10","2.4 GHz","February 22, 2021 at 01:16 PM","--"
