"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"[Hidden]","localAdm:2ae829-92e105","Local:2ae829-92e105","--","Ubiquiti:18e829-92e105","48","40","ac,n,a","-70 dBm","20 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:2ae829-92e105","Feb 22,2021 01:44PM"
"JFMfgTest_EVT","CiscoLin:48f8b3-147085","Cisco-Li:48f8b3-147085","--","Cisco-Li:48f8b3-147085","4","20","g,b","-54 dBm","36 dB","WPA2-P,WPA-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco-Li:48f8b3-147085","Feb 22,2021 01:44PM"
"LRC","Sonicwal:18b169-c8e5e2","Sonicwal:18b169-c8e5e2","--","10.24.23.88","11","20","n,g,b","-56 dBm","34 dB","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Sonicwal:18b169-c8e5e2","Feb 22,2021 01:44PM"
"Gentiva-Corp","HewlettP:9c1c12-255562","ArubaaHe:9c1c12-255562","--","ArubaaHe:9c1c12-255563","6","20","n,g,b","--","--","WPA2-E","Unspecified","9,11,12,18","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:9c1c12-255562","Feb 22,2021 01:31PM"
"MOOGGUEST","HewlettP:24dec6-3ea281","ArubaaHe:24dec6-3ea281","Warning(s) 1","ArubaaHe:24dec6-3ea280","1","20","n,g,b","-72 dBm","18 dB","WPA2-P","Unspecified","1,2","--","--","--","2 [1,11,1]","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:24dec6-3ea281","Feb 22,2021 01:44PM"
"Innovation_Guest","HewlettP:84d47e-ebb561","ArubaaHe:84d47e-ebb561","--","ArubaaHe:84d47e-ebb561","6","20","n,g,b","-71 dBm","19 dB","WPA2-P","Unspecified","1,2","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:84d47e-ebb561","Feb 22,2021 01:44PM"
"LRC","Sonicwal:18b169-c8eb02","Sonicwal:18b169-c8eb02","--","10.24.23.89","161","40","ac,n,a","-49 dBm","41 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Sonicwal:18b169-c8eb02","Feb 22,2021 01:44PM"
"xfinitywifi","Pegatron:ecaaa0-360071","Pegatron:ecaaa0-360071","--","Pegatron:ecaaa0-360068","157","80","ac,n,a","-58 dBm","32 dB","Open","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Pegatron:ecaaa0-360071","Feb 22,2021 01:44PM"
"XFINITY","Pegatron:ecaaa0-360072","Pegatron:ecaaa0-360072","--","Pegatron:ecaaa0-360068","157","80","ac,n,a","-58 dBm","32 dB","WPA2-E","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Pegatron:ecaaa0-360072","Feb 22,2021 01:44PM"
"LRG","Sonicwal:18b169-c8e5db","Sonicwal:18b169-c8e5db","--","10.24.23.88","36","40","ac,n,a","-60 dBm","30 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Sonicwal:18b169-c8e5db","Feb 22,2021 01:44PM"
"Innovation","HewlettP:84d47e-ebb560","ArubaaHe:84d47e-ebb560","--","ArubaaHe:84d47e-ebb561","6","20","n,g,b","-71 dBm","19 dB","WPA2-P","Unspecified","1,2","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:84d47e-ebb560","Feb 22,2021 01:44PM"
