"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"OC-Corp","Cisco:843dc6-baf406","Cisco:843dc6-baf406","--","WA-EVERETT-AP7_","157","20","ac,n,a","--","--","WPA2-E","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-baf406","Feb 22,2021 01:37PM"
"[Hidden]","CiscoMer:683a1e-321523","CiscoMer:683a1e-321523","--","Local:6a3a0e-321523","11","20","n,g,b","--","--","WPA2-P","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","CiscoMer:683a1e-321523","Feb 22,2021 01:43PM"
"srmguest","localAdm:623a1e-321523","Local:623a1e-321523","--","Local:6a3a0e-321523","11","20","n,g,b","--","--","WPA2-P","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:623a1e-321523","Feb 22,2021 01:43PM"
"[Hidden]","ASUSTek:708bcd-ad96c0","ASUSTekC:708bcd-ad96c0","--","ASUSTekC:708bcd-ad96c0","9","40","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ASUSTekC:708bcd-ad96c0","Feb 22,2021 01:39PM"
"Snackers_Service_2.4G","ASUSTek:9c5c8e-89c288","ASUSTekC:9c5c8e-89c288","--","ASUSTekC:9c5c8e-89c28c","4","20","n,g,b","-62 dBm","28 dB","Open","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ASUSTekC:9c5c8e-89c288","Feb 22,2021 01:44PM"
"[Hidden]","localAdm:4a5d36-8f3659","Local:4a5d36-8f3659","--","Verizon:485d36-8f365a","140","80","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:4a5d36-8f3659","Feb 22,2021 01:33PM"
"2TX7D","00f196-6e208b","00f196-6e208b","--","00f196-6e208b","1","20","n,g,b","--","--","WPA2-P,WPA-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","00f196-6e208b","Feb 22,2021 01:37PM"
"OC-Corp","Cisco:843dc6-721519","Cisco:843dc6-721519","--","WA-EVERETT-AP5_","6","20","n,g,b","--","--","WPA2-E","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-721519","Feb 22,2021 01:36PM"
"[Hidden]","localAdm:8a1514-9bac71","Local:8a1514-9bac71","--","Local:8a1514-9bac70","157","80","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1514-9bac71","Feb 22,2021 01:36PM"
"OC-Guest","Cisco:843dc6-721514","Cisco:843dc6-721514","--","WA-EVERETT-AP5_","6","20","n,g,b","--","--","Open","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-721514","Feb 22,2021 01:36PM"
"[Hidden]","Cisco:843dc6-72151a","Cisco:843dc6-72151a","--","WA-EVERETT-AP5_","6","20","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-72151a","Feb 22,2021 01:36PM"
"[Hidden]","localAdm:8a1504-9bac71","Local:8a1504-9bac71","--","Local:8a1504-9bac7f","1","20","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1504-9bac71","Feb 22,2021 01:36PM"
"RM_Guest","HewlettP:94b40f-072362","ArubaaHe:94b40f-072362","--","ArubaaHe:94b40f-072362","1","20","n,g,b","--","--","WPA2-P","Unspecified","1,2","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:94b40f-072362","Feb 22,2021 01:43PM"
"CBCI-1CB9","VantivaU:603d26-fc1cbd","Technico:603d26-fc1cbd","--","Technico:603d26-fc1cbd","1","20","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Technico:603d26-fc1cbd","Feb 22,2021 01:43PM"
